c767      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c770      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c774      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c776      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c779      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c783      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c785      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c788      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c792      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c794      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c797      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c801      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c803      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c806      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c810      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c812      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c815      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
